Dataset,Algorithm,ExecutionTime,MemoryUsage,Weight,Otimal Threshold,Quality,numberNodes
eil51,tatt,0.0283193588256835,165.203125,584,426,1.3708920187793427,51
eil51,chr,0.0552277565002441,165.203125,462,426,1.0845070422535212,51
berlin52,tatt,0.0414540767669677,203.55859375,10114,7542,1.3410236011667993,52
berlin52,chr,0.0676836967468261,203.55859375,8591,7542,1.1390877751259614,52
st70,chr,0.1041760444641113,203.55859375,770,675,1.1407407407407408,70
st70,tatt,0.039029836654663,203.55859375,888,675,1.3155555555555556,70
eil76,chr,0.0998623371124267,184.34765625,608,538,1.1301115241635689,76
eil76,tatt,0.038503885269165,184.34765625,696,538,1.2936802973977697,76
pr76,tatt,0.038109540939331,182.47265625,145336,108159,1.3437254412485322,76
pr76,chr,0.0853340625762939,182.47265625,116684,108159,1.0788191458870735,76
rat99,tatt,0.0525619983673095,203.55859375,1693,1211,1.398018166804294,99
rat99,chr,0.1405088901519775,203.55859375,1393,1211,1.1502890173410405,99
kroA150,tatt,0.1129887104034423,184.47265625,35119,26524,1.324046146885839,150
kroA150,chr,0.5243279933929443,182.47265625,29688,26524,1.1192881918262705,150
kroA200,tatt,0.173915147781372,206.30859375,40028,29368,1.3629801144102425,200
kroA200,chr,0.708585262298584,184.34765625,33232,29368,1.1315717788068649,200
tsp225,chr,0.4627695083618164,164.953125,4397,3916,1.122829417773238,225
tsp225,tatt,0.1628885269165039,163.953125,5161,3916,1.317926455566905,225
pcb442,tatt,0.4100399017333984,198.80859375,69223,50778,1.3632478632478633,442
pcb442,chr,3.7571325302124015,200.55859375,54868,50778,1.0805466934499193,442
