Dataset,Algorithm,ExecutionTime,MemoryUsage,Weight,Otimal Threshold,Quality,numberNodes
tsp225,chr,0.4627695083618164,164.953125,4397,3916,1.122829417773238,225
eil51,chr,0.05522775650024414,165.203125,462,426,1.0845070422535212,51
pcb442,chr,3.7571325302124023,200.55859375,54868,50778,1.0805466934499193,442
berlin52,chr,0.06768369674682617,203.55859375,8591,7542,1.1390877751259614,52
st70,chr,0.10417604446411133,203.55859375,770,675,1.1407407407407408,70
rat99,chr,0.14050889015197754,203.55859375,1393,1211,1.1502890173410405,99
kroA200,chr,0.708585262298584,184.34765625,33232,29368,1.1315717788068647,200
eil76,chr,0.09986233711242676,184.34765625,608,538,1.1301115241635689,76
kroA150,chr,0.5243279933929443,182.47265625,29688,26524,1.1192881918262705,150
pr76,chr,0.08533406257629395,182.47265625,116684,108159,1.0788191458870737,76
