Dataset,Algorithm,ExecutionTime,MemoryUsage,Weight,Otimal Threshold,Quality,numberNodes
tsp225,tatt,0.1628885269165039,163.953125,5161,3916,1.317926455566905,225
eil51,tatt,0.028319358825683594,165.203125,584,426,1.3708920187793427,51
pcb442,tatt,0.41003990173339844,198.80859375,69223,50778,1.3632478632478633,442
berlin52,tatt,0.04145407676696777,203.55859375,10114,7542,1.3410236011667993,52
st70,tatt,0.039029836654663086,203.55859375,888,675,1.3155555555555556,70
rat99,tatt,0.05256199836730957,203.55859375,1693,1211,1.398018166804294,99
kroA200,tatt,0.17391514778137207,206.30859375,40028,29368,1.3629801144102425,200
eil76,tatt,0.03850388526916504,184.34765625,696,538,1.2936802973977695,76
kroA150,tatt,0.11298871040344238,184.47265625,35119,26524,1.3240461468858393,150
pr76,tatt,0.038109540939331055,182.47265625,145336,108159,1.3437254412485322,76
