Dataset,Algorithm,ExecutionTime,MemoryUsage,Weight,Otimal Threshold,Quality,numberNodes
eil51,tatt,0.03625297546386719,64.15625,584,426,1.3708920187793427,51
eil51,chr,0.0453791618347168,64.78125,462,426,1.0845070422535212,51
berlin52,tatt,0.03559398651123047,65.40625,10114,7542,1.3410236011667993,52
berlin52,chr,0.04875779151916504,65.40625,8591,7542,1.1390877751259614,52
st70,tatt,0.023307323455810547,66.28125,888,675,1.3155555555555556,70
st70,chr,0.08274054527282715,66.53125,770,675,1.1407407407407408,70
eil76,tatt,0.023979902267456055,67.03125,696,538,1.2936802973977695,76
eil76,chr,0.08471012115478516,67.40625,608,538,1.1301115241635689,76
pr76,tatt,0.025139331817626953,68.28125,145336,108159,1.3437254412485322,76
pr76,chr,0.09434127807617188,68.28125,116684,108159,1.0788191458870737,76
rat99,tatt,0.03973674774169922,68.28125,1693,1211,1.398018166804294,99
rat99,chr,0.13148999214172363,68.40625,1393,1211,1.1502890173410405,99
kroA100,tatt,0.04091167449951172,69.28125,27210,21282,1.2785452495066254,100
kroA100,chr,0.15457820892333984,70.28125,23293,21282,1.0944929987783103,100
kroB100,tatt,0.038362741470336914,72.03125,25885,22141,1.1690980533851225,100
kroB100,chr,0.12880492210388184,72.03125,24012,22141,1.0845038616142,100
kroC100,tatt,0.038578033447265625,72.28125,27968,20749,1.3479203817051424,100
kroC100,chr,0.1376357078552246,72.28125,23470,20749,1.1311388500650634,100
kroD100,tatt,0.03985333442687988,72.28125,27112,21294,1.2732225039917349,100
kroD100,chr,0.14826440811157227,72.28125,23583,21294,1.1074950690335306,100
kroE100,tatt,0.038038015365600586,72.53125,29965,22068,1.3578484683704912,100
kroE100,chr,0.19718289375305176,72.78125,23783,22068,1.0777143375022658,100
rd100,tatt,0.039147377014160156,72.78125,10790,7910,1.3640960809102403,100
rd100,chr,0.2246720790863037,72.78125,8906,7910,1.1259165613147915,100
eil101,tatt,0.0388178825378418,72.78125,830,629,1.3195548489666136,101
eil101,chr,0.175278902053833,73.40625,707,629,1.124006359300477,101
lin105,tatt,0.05785012245178223,73.53125,19495,14379,1.355796647889283,105
lin105,chr,0.1428678035736084,73.53125,16320,14379,1.1349885249321927,105
pr107,tatt,0.04183363914489746,73.53125,54237,44303,1.2242286075435072,107
pr107,chr,0.11132311820983887,73.53125,47891,44303,1.0809877434936686,107
pr124,tatt,0.054230690002441406,73.53125,74139,59030,1.2559545993562595,124
pr124,chr,0.11427044868469238,73.53125,64438,59030,1.0916144333389801,124
bier127,tatt,0.05709552764892578,73.53125,158626,118282,1.3410831741093319,127
bier127,chr,0.37832093238830566,73.53125,132448,118282,1.119764630290323,127
ch130,tatt,0.08032584190368652,74.53125,8129,6110,1.330441898527005,130
ch130,chr,0.21055960655212402,74.53125,6773,6110,1.1085106382978724,130
pr136,tatt,0.06459164619445801,74.53125,151904,96772,1.5697102467655935,136
pr136,chr,0.10973000526428223,74.53125,103771,96772,1.0723246393584922,136
pr144,tatt,0.07291412353515625,74.53125,80599,58537,1.3768898303637016,144
pr144,chr,0.10862874984741211,74.53125,70404,58537,1.2027264806874285,144
ch150,tatt,0.07811331748962402,74.53125,8347,6528,1.2786458333333333,150
ch150,chr,0.24480533599853516,74.53125,7135,6528,1.092984068627451,150
kroA150,tatt,0.0895540714263916,74.53125,35119,26524,1.3240461468858393,150
kroA150,chr,0.5401172637939453,74.53125,29688,26524,1.1192881918262705,150
kroB150,tatt,0.08658313751220703,75.53125,36150,26130,1.3834672789896671,150
kroB150,chr,0.5435500144958496,75.53125,30053,26130,1.1501339456563338,150
pr152,tatt,0.08402395248413086,75.53125,87995,73682,1.1942536847533998,152
pr152,chr,0.09306955337524414,75.53125,79311,73682,1.0763958633044706,152
u159,tatt,0.08416247367858887,75.53125,57791,42080,1.3733602661596958,159
u159,chr,0.339022159576416,75.53125,47586,42080,1.1308460076045628,159
rat195,tatt,0.09047770500183105,76.90625,3234,2323,1.3921653034868704,195
rat195,chr,0.38859009742736816,76.90625,2630,2323,1.1321566939302625,195
d198,tatt,0.11018013954162598,80.15625,18936,15780,1.2,198
d198,chr,0.4620542526245117,80.15625,17347,15780,1.0993029150823828,198
kroA200,tatt,0.1271669864654541,82.40625,40028,29368,1.3629801144102425,200
kroA200,chr,0.6769201755523682,82.40625,33232,29368,1.1315717788068647,200
kroB200,tatt,0.09626460075378418,82.90625,40703,29437,1.382715629989469,200
kroB200,chr,0.5577223300933838,82.90625,33119,29437,1.1250806807758942,200
ts225,tatt,0.13710927963256836,84.78125,188008,126643,1.4845510608561072,225
ts225,chr,0.18370676040649414,84.78125,134282,126643,1.060319164896599,225
tsp225,tatt,0.13950085639953613,85.40625,5161,3916,1.317926455566905,225
tsp225,chr,0.41751980781555176,82.21484375,4397,3916,1.122829417773238,225
pr226,tatt,0.13382887840270996,83.83984375,116694,80369,1.4519777526160584,226
pr226,chr,0.6043848991394043,83.83984375,92415,80369,1.1498836616108201,226
gil262,tatt,0.17676186561584473,88.0,3308,2378,1.391084945332212,262
gil262,chr,0.883558988571167,88.0,2724,2378,1.1455004205214465,262
pr264,tatt,0.20075321197509766,93.05859375,66470,49135,1.3528035005596826,264
pr264,chr,0.59511399269104,93.18359375,54662,49135,1.1124860079373156,264
a280,tatt,0.196852445602417,86.3671875,3592,2579,1.3927879022877083,280
a280,chr,0.7671070098876953,86.3671875,2913,2579,1.1295075610701821,280
pr299,tatt,0.22470426559448242,94.89453125,64645,48191,1.3414330476645018,299
pr299,chr,1.2369554042816162,94.0234375,52969,48191,1.0991471436575295,299
lin318,tatt,0.2760171890258789,96.77734375,58138,42029,1.383282971281734,318
lin318,chr,1.5032451152801514,95.890625,47246,42029,1.1241285778866972,318
linhp318,tatt,0.2580749988555908,101.0703125,58138,41345,1.406167613979925,318
linhp318,chr,1.546952247619629,98.25,47246,41345,1.1427258435119119,318
rd400,tatt,0.4559900760650635,115.33984375,20331,15281,1.3304757542045678,400
rd400,chr,3.8929858207702637,115.390625,17501,15281,1.145278450363196,400
fl417,tatt,0.47548890113830566,120.91796875,16200,11861,1.3658207571031111,417
fl417,chr,1.6347651481628418,118.93359375,13175,11861,1.1107832391872523,417
pr439,tatt,0.5227785110473633,115.20703125,144623,107217,1.3488812408479998,439
pr439,chr,1.9878301620483398,115.18359375,119525,107217,1.1147952283686355,439
pcb442,tatt,0.5483241081237793,128.30859375,69223,50778,1.3632478632478633,442
pcb442,chr,3.679678440093994,127.39453125,54868,50778,1.0805466934499193,442
d493,tatt,0.4719114303588867,150.28515625,44884,35002,1.2823267241871894,493
d493,chr,6.645064115524292,130.328125,38697,35002,1.1055653962630707,493
u574,tatt,0.6348514556884766,168.25390625,48902,36905,1.3250779027232082,574
u574,chr,7.78698992729187,147.546875,41424,36905,1.1224495325836608,574
rat575,tatt,0.6455981731414795,183.046875,9393,6773,1.3868300605344752,575
rat575,chr,7.980959415435791,145.32421875,7811,6773,1.153255573601063,575
p654,tatt,0.8293368816375732,196.2421875,49699,34643,1.4346043933839447,654
p654,chr,1.9079325199127197,165.89453125,39292,34643,1.1341973847530527,654
d657,tatt,0.8773245811462402,205.53515625,66342,48912,1.3563542688910697,657
d657,chr,12.72989559173584,162.8046875,55007,48912,1.124611547268564,657
u724,tatt,1.065680980682373,241.40234375,57721,41910,1.3772607969458364,724
u724,chr,14.922459363937378,201.6171875,47431,41910,1.131734669529945,724
rat783,tatt,1.258955955505371,281.9921875,11921,8806,1.3537360890302066,783
rat783,chr,19.661254167556763,220.61328125,10036,8806,1.139677492618669,783
pr1002,tatt,2.205326557159424,362.2578125,342216,259045,1.321067768148391,1002
pr1002,chr,44.01072120666504,306.171875,286203,259045,1.104838927599452,1002
u1060,tatt,2.4628825187683105,462.703125,305849,224094,1.364824582541255,1060
u1060,chr,45.17260503768921,339.3828125,249289,224094,1.112430497916053,1060
vm1084,tatt,2.836216926574707,490.078125,315277,239297,1.3175133829508936,1084
vm1084,chr,28.850411415100098,351.3671875,260770,239297,1.0897336782324893,1084
pcb1173,tatt,3.169340133666992,512.0,80761,56892,1.4195493215214794,1173
pcb1173,chr,40.81110596656799,386.1015625,63767,56892,1.1208430007733952,1173
d1291,tatt,3.9583399295806885,589.44921875,75282,50801,1.4818999625991613,1291
d1291,chr,14.550108194351196,449.3984375,57655,50801,1.134918603964489,1291
rl1304,tatt,4.273554801940918,624.11328125,348309,252948,1.3769984344608377,1304
rl1304,chr,15.184614419937134,441.15625,277037,252948,1.0952330123187375,1304
rl1323,tatt,4.412972450256348,632.3046875,380427,270199,1.4079511767253026,1323
rl1323,chr,15.596820831298828,458.8984375,298272,270199,1.1038974977701619,1323
nrw1379,tatt,4.647901296615601,710.72265625,79188,56638,1.3981425897807125,1379
nrw1379,chr,126.219491481781,535.1015625,63703,56638,1.1247395741375048,1379
fl1400,tatt,4.7154295444488525,837.328125,28022,20127,1.392259154369752,1400
fl1400,chr,131.28274607658386,617.2734375,23005,20127,1.1429920007949521,1400
u1432,tatt,4.881847858428955,900.33984375,214417,152970,1.4016931424462313,1432
u1432,chr,60.83606767654419,642.99609375,171469,152970,1.1209322089298555,1432
fl1577,tatt,5.838726758956909,932.8125,30257,22249,1.3599262888219694,1577
fl1577,chr,34.859580755233765,689.39453125,24606,22249,1.105937345498674,1577
d1655,tatt,6.689615488052368,1018.7734375,85285,62128,1.3727304918877157,1655
d1655,chr,76.03497815132141,767.875,69721,62128,1.1222154262168427,1655
vm1748,tatt,7.927972793579102,1131.20703125,442756,336556,1.3155492696609183,1748
vm1748,chr,105.5026285648346,837.23046875,376275,336556,1.1180160211079286,1748
u1817,tatt,8.069496154785156,1214.05078125,82013,57201,1.4337686404083845,1817
u1817,chr,68.51298403739929,888.48046875,66125,57201,1.156011258544431,1817
rl1889,tatt,9.21917724609375,1302.77734375,448611,316536,1.417251118356206,1889
rl1889,chr,46.59795117378235,946.125,344580,316536,1.0885965577375085,1889
d2103,tatt,10.73591685295105,1450.78125,123086,80450,1.5299689247980113,2103
d2103,chr,14.210862874984741,1106.89453125,84209,80450,1.046724673710379,2103
u2152,tatt,11.237084865570068,1568.77734375,93801,64253,1.4598695780741755,2152
u2152,chr,105.75170493125916,1152.52734375,72407,64253,1.1269045803308795,2152
u2319,tatt,13.635658502578735,1773.7265625,320506,234256,1.3681869407827334,2319
u2319,chr,488.43619179725647,1373.6953125,271669,234256,1.1597098900348337,2319
pr2392,tatt,14.271631002426147,2196.58984375,523107,378032,1.3837638083548482,2392
pr2392,chr,437.8734619617462,1427.21875,425940,378032,1.1267300122740933,2392
pcb3038,tatt,24.545772314071655,2805.015625,197498,137694,1.4343253881795865,3038
pcb3038,chr,658.1239521503448,2311.6875,154670,137694,1.1232878702049471,3038
fl3795,tatt,36.57251453399658,4359.11328125,36256,28772,1.260113999721952,3795
fl3795,chr,1080.5578043460846,3493.88671875,31935,28772,1.1099332684554428,3795
