Dataset,Algorithm,ExecutionTime,MemoryUsage,Weight,Otimal Threshold,Quality,numberNodes
eil51,chr,0.0453791618347168,64.78125,462,426,1.0845070422535212,51
berlin52,chr,0.04875779151916504,65.40625,8591,7542,1.1390877751259614,52
st70,chr,0.08274054527282715,66.53125,770,675,1.1407407407407408,70
eil76,chr,0.08471012115478516,67.40625,608,538,1.1301115241635689,76
pr76,chr,0.09434127807617188,68.28125,116684,108159,1.0788191458870737,76
rat99,chr,0.13148999214172363,68.40625,1393,1211,1.1502890173410405,99
kroA100,chr,0.15457820892333984,70.28125,23293,21282,1.0944929987783103,100
kroB100,chr,0.12880492210388184,72.03125,24012,22141,1.0845038616142,100
kroC100,chr,0.1376357078552246,72.28125,23470,20749,1.1311388500650634,100
kroD100,chr,0.14826440811157227,72.28125,23583,21294,1.1074950690335306,100
kroE100,chr,0.19718289375305176,72.78125,23783,22068,1.0777143375022658,100
rd100,chr,0.2246720790863037,72.78125,8906,7910,1.1259165613147915,100
eil101,chr,0.175278902053833,73.40625,707,629,1.124006359300477,101
lin105,chr,0.1428678035736084,73.53125,16320,14379,1.1349885249321927,105
pr107,chr,0.11132311820983887,73.53125,47891,44303,1.0809877434936686,107
pr124,chr,0.11427044868469238,73.53125,64438,59030,1.0916144333389801,124
bier127,chr,0.37832093238830566,73.53125,132448,118282,1.119764630290323,127
ch130,chr,0.21055960655212402,74.53125,6773,6110,1.1085106382978724,130
pr136,chr,0.10973000526428223,74.53125,103771,96772,1.0723246393584922,136
pr144,chr,0.10862874984741211,74.53125,70404,58537,1.2027264806874285,144
ch150,chr,0.24480533599853516,74.53125,7135,6528,1.092984068627451,150
kroA150,chr,0.5401172637939453,74.53125,29688,26524,1.1192881918262705,150
kroB150,chr,0.5435500144958496,75.53125,30053,26130,1.1501339456563338,150
pr152,chr,0.09306955337524414,75.53125,79311,73682,1.0763958633044706,152
u159,chr,0.339022159576416,75.53125,47586,42080,1.1308460076045628,159
rat195,chr,0.38859009742736816,76.90625,2630,2323,1.1321566939302625,195
d198,chr,0.4620542526245117,80.15625,17347,15780,1.0993029150823828,198
kroA200,chr,0.6769201755523682,82.40625,33232,29368,1.1315717788068647,200
kroB200,chr,0.5577223300933838,82.90625,33119,29437,1.1250806807758942,200
ts225,chr,0.18370676040649414,84.78125,134282,126643,1.060319164896599,225
tsp225,chr,0.41751980781555176,82.21484375,4397,3916,1.122829417773238,225
pr226,chr,0.6043848991394043,83.83984375,92415,80369,1.1498836616108201,226
gil262,chr,0.883558988571167,88.0,2724,2378,1.1455004205214465,262
pr264,chr,0.59511399269104,93.18359375,54662,49135,1.1124860079373156,264
a280,chr,0.7671070098876953,86.3671875,2913,2579,1.1295075610701821,280
pr299,chr,1.2369554042816162,94.0234375,52969,48191,1.0991471436575295,299
lin318,chr,1.5032451152801514,95.890625,47246,42029,1.1241285778866972,318
linhp318,chr,1.546952247619629,98.25,47246,41345,1.1427258435119119,318
rd400,chr,3.8929858207702637,115.390625,17501,15281,1.145278450363196,400
fl417,chr,1.6347651481628418,118.93359375,13175,11861,1.1107832391872523,417
pr439,chr,1.9878301620483398,115.18359375,119525,107217,1.1147952283686355,439
pcb442,chr,3.679678440093994,127.39453125,54868,50778,1.0805466934499193,442
d493,chr,6.645064115524292,130.328125,38697,35002,1.1055653962630707,493
u574,chr,7.78698992729187,147.546875,41424,36905,1.1224495325836608,574
rat575,chr,7.980959415435791,145.32421875,7811,6773,1.153255573601063,575
p654,chr,1.9079325199127197,165.89453125,39292,34643,1.1341973847530527,654
d657,chr,12.72989559173584,162.8046875,55007,48912,1.124611547268564,657
u724,chr,14.922459363937378,201.6171875,47431,41910,1.131734669529945,724
rat783,chr,19.661254167556763,220.61328125,10036,8806,1.139677492618669,783
pr1002,chr,44.01072120666504,306.171875,286203,259045,1.104838927599452,1002
u1060,chr,45.17260503768921,339.3828125,249289,224094,1.112430497916053,1060
vm1084,chr,28.850411415100098,351.3671875,260770,239297,1.0897336782324893,1084
pcb1173,chr,40.81110596656799,386.1015625,63767,56892,1.1208430007733952,1173
d1291,chr,14.550108194351196,449.3984375,57655,50801,1.134918603964489,1291
rl1304,chr,15.184614419937134,441.15625,277037,252948,1.0952330123187375,1304
rl1323,chr,15.596820831298828,458.8984375,298272,270199,1.1038974977701619,1323
nrw1379,chr,126.219491481781,535.1015625,63703,56638,1.1247395741375048,1379
fl1400,chr,131.28274607658386,617.2734375,23005,20127,1.1429920007949521,1400
u1432,chr,60.83606767654419,642.99609375,171469,152970,1.1209322089298555,1432
fl1577,chr,34.859580755233765,689.39453125,24606,22249,1.105937345498674,1577
d1655,chr,76.03497815132141,767.875,69721,62128,1.1222154262168427,1655
vm1748,chr,105.5026285648346,837.23046875,376275,336556,1.1180160211079286,1748
u1817,chr,68.51298403739929,888.48046875,66125,57201,1.156011258544431,1817
rl1889,chr,46.59795117378235,946.125,344580,316536,1.0885965577375085,1889
d2103,chr,14.210862874984741,1106.89453125,84209,80450,1.046724673710379,2103
u2152,chr,105.75170493125916,1152.52734375,72407,64253,1.1269045803308795,2152
u2319,chr,488.43619179725647,1373.6953125,271669,234256,1.1597098900348337,2319
pr2392,chr,437.8734619617462,1427.21875,425940,378032,1.1267300122740933,2392
pcb3038,chr,658.1239521503448,2311.6875,154670,137694,1.1232878702049471,3038
fl3795,chr,1080.5578043460846,3493.88671875,31935,28772,1.1099332684554428,3795
