Dataset,Algorithm,ExecutionTime,MemoryUsage,Weight,Otimal Threshold,Quality,numberNodes
eil51,tatt,0.03625297546386719,64.15625,584,426,1.3708920187793427,51
berlin52,tatt,0.03559398651123047,65.40625,10114,7542,1.3410236011667993,52
st70,tatt,0.023307323455810547,66.28125,888,675,1.3155555555555556,70
eil76,tatt,0.023979902267456055,67.03125,696,538,1.2936802973977695,76
pr76,tatt,0.025139331817626953,68.28125,145336,108159,1.3437254412485322,76
rat99,tatt,0.03973674774169922,68.28125,1693,1211,1.398018166804294,99
kroA100,tatt,0.04091167449951172,69.28125,27210,21282,1.2785452495066254,100
kroB100,tatt,0.038362741470336914,72.03125,25885,22141,1.1690980533851225,100
kroC100,tatt,0.038578033447265625,72.28125,27968,20749,1.3479203817051424,100
kroD100,tatt,0.03985333442687988,72.28125,27112,21294,1.2732225039917349,100
kroE100,tatt,0.038038015365600586,72.53125,29965,22068,1.3578484683704912,100
rd100,tatt,0.039147377014160156,72.78125,10790,7910,1.3640960809102403,100
eil101,tatt,0.0388178825378418,72.78125,830,629,1.3195548489666136,101
lin105,tatt,0.05785012245178223,73.53125,19495,14379,1.355796647889283,105
pr107,tatt,0.04183363914489746,73.53125,54237,44303,1.2242286075435072,107
pr124,tatt,0.054230690002441406,73.53125,74139,59030,1.2559545993562595,124
bier127,tatt,0.05709552764892578,73.53125,158626,118282,1.3410831741093319,127
ch130,tatt,0.08032584190368652,74.53125,8129,6110,1.330441898527005,130
pr136,tatt,0.06459164619445801,74.53125,151904,96772,1.5697102467655935,136
pr144,tatt,0.07291412353515625,74.53125,80599,58537,1.3768898303637016,144
ch150,tatt,0.07811331748962402,74.53125,8347,6528,1.2786458333333333,150
kroA150,tatt,0.0895540714263916,74.53125,35119,26524,1.3240461468858393,150
kroB150,tatt,0.08658313751220703,75.53125,36150,26130,1.3834672789896671,150
pr152,tatt,0.08402395248413086,75.53125,87995,73682,1.1942536847533998,152
u159,tatt,0.08416247367858887,75.53125,57791,42080,1.3733602661596958,159
rat195,tatt,0.09047770500183105,76.90625,3234,2323,1.3921653034868704,195
d198,tatt,0.11018013954162598,80.15625,18936,15780,1.2,198
kroA200,tatt,0.1271669864654541,82.40625,40028,29368,1.3629801144102425,200
kroB200,tatt,0.09626460075378418,82.90625,40703,29437,1.382715629989469,200
ts225,tatt,0.13710927963256836,84.78125,188008,126643,1.4845510608561072,225
tsp225,tatt,0.13950085639953613,85.40625,5161,3916,1.317926455566905,225
pr226,tatt,0.13382887840270996,83.83984375,116694,80369,1.4519777526160584,226
gil262,tatt,0.17676186561584473,88.0,3308,2378,1.391084945332212,262
pr264,tatt,0.20075321197509766,93.05859375,66470,49135,1.3528035005596826,264
a280,tatt,0.196852445602417,86.3671875,3592,2579,1.3927879022877083,280
pr299,tatt,0.22470426559448242,94.89453125,64645,48191,1.3414330476645018,299
lin318,tatt,0.2760171890258789,96.77734375,58138,42029,1.383282971281734,318
linhp318,tatt,0.2580749988555908,101.0703125,58138,41345,1.406167613979925,318
rd400,tatt,0.4559900760650635,115.33984375,20331,15281,1.3304757542045678,400
fl417,tatt,0.47548890113830566,120.91796875,16200,11861,1.3658207571031111,417
pr439,tatt,0.5227785110473633,115.20703125,144623,107217,1.3488812408479998,439
pcb442,tatt,0.5483241081237793,128.30859375,69223,50778,1.3632478632478633,442
d493,tatt,0.4719114303588867,150.28515625,44884,35002,1.2823267241871894,493
u574,tatt,0.6348514556884766,168.25390625,48902,36905,1.3250779027232082,574
rat575,tatt,0.6455981731414795,183.046875,9393,6773,1.3868300605344752,575
p654,tatt,0.8293368816375732,196.2421875,49699,34643,1.4346043933839447,654
d657,tatt,0.8773245811462402,205.53515625,66342,48912,1.3563542688910697,657
u724,tatt,1.065680980682373,241.40234375,57721,41910,1.3772607969458364,724
rat783,tatt,1.258955955505371,281.9921875,11921,8806,1.3537360890302066,783
pr1002,tatt,2.205326557159424,362.2578125,342216,259045,1.321067768148391,1002
u1060,tatt,2.4628825187683105,462.703125,305849,224094,1.364824582541255,1060
vm1084,tatt,2.836216926574707,490.078125,315277,239297,1.3175133829508936,1084
pcb1173,tatt,3.169340133666992,512.0,80761,56892,1.4195493215214794,1173
d1291,tatt,3.9583399295806885,589.44921875,75282,50801,1.4818999625991613,1291
rl1304,tatt,4.273554801940918,624.11328125,348309,252948,1.3769984344608377,1304
rl1323,tatt,4.412972450256348,632.3046875,380427,270199,1.4079511767253026,1323
nrw1379,tatt,4.647901296615601,710.72265625,79188,56638,1.3981425897807125,1379
fl1400,tatt,4.7154295444488525,837.328125,28022,20127,1.392259154369752,1400
u1432,tatt,4.881847858428955,900.33984375,214417,152970,1.4016931424462313,1432
